caldt,mret,model,year,portfolio_alpha,target_mode,long_decile,short_decile,backtest_start,backtest_end
2007-05-31,0.03099388071649062,elastic_net,2006,-0.009379425847508626,alpha,0.1,0,,
2007-06-29,-0.025705197227380794,elastic_net,2006,-0.011136591162442564,alpha,0.1,0,,
2007-07-31,-0.027583713727169175,elastic_net,2006,0.004841465930696794,alpha,0.1,0,,
2007-08-31,0.019927686086856834,elastic_net,2006,0.0033803237965044433,alpha,0.1,0,,
2007-09-28,0.05569008660152745,elastic_net,2006,0.014556119109008565,alpha,0.1,0,,
2007-10-31,0.04042496102593539,elastic_net,2006,0.01606108585503233,alpha,0.1,0,,
2007-11-30,-0.05405508476695693,elastic_net,2006,-0.005801625524310405,alpha,0.1,0,,
2007-12-31,-0.007647117896541392,elastic_net,2006,-0.0041222265658071135,alpha,0.1,0,,
2008-01-31,-0.09314724822713578,elastic_net,2007,-0.021125684185347354,alpha,0.1,0,,
2008-02-29,-0.012450937192435807,elastic_net,2007,0.01637247777345841,alpha,0.1,0,,
2008-03-31,-0.01805431520023027,elastic_net,2007,-0.009590226799854957,alpha,0.1,0,,
2008-04-30,0.06860850300436908,elastic_net,2007,0.015565035475704377,alpha,0.1,0,,
2008-05-30,0.043325579587252264,elastic_net,2007,0.017558667734392394,alpha,0.1,0,,
2008-06-30,-0.05597191446377826,elastic_net,2007,0.024784672857476188,alpha,0.1,0,,
2008-07-31,-0.036364590224751615,elastic_net,2007,-0.028208553593621927,alpha,0.1,0,,
2008-08-29,0.0016393345081935522,elastic_net,2007,-0.01616731522861144,alpha,0.1,0,,
2008-09-30,-0.1264152078810667,elastic_net,2007,-0.023275426443132977,alpha,0.1,0,,
2008-10-31,-0.19174124402657702,elastic_net,2007,-0.010602514035225968,alpha,0.1,0,,
2008-11-28,-0.09661761094433705,elastic_net,2007,-0.012736917089235716,alpha,0.1,0,,
2008-12-31,0.026400097927285034,elastic_net,2007,0.001531279397092404,alpha,0.1,0,,
2009-01-30,-0.06380244830943277,elastic_net,2008,0.009871562597640077,alpha,0.1,0,,
2009-02-27,-0.08777780304505553,elastic_net,2008,0.010790072202548281,alpha,0.1,0,,
2009-03-31,0.08752978213177359,elastic_net,2008,-0.006837678575889766,alpha,0.1,0,,
2009-04-30,0.1289549373063339,elastic_net,2008,0.02300191854656826,alpha,0.1,0,,
2009-05-29,0.05611992953801335,elastic_net,2008,0.0022847266377685332,alpha,0.1,0,,
2009-06-30,-0.001992120888788331,elastic_net,2008,-0.012944484662720883,alpha,0.1,0,,
2009-07-31,0.07965661118663946,elastic_net,2008,0.007469631334829266,alpha,0.1,0,,
2009-08-31,0.03768563841472888,elastic_net,2008,0.01621630749803102,alpha,0.1,0,,
2009-09-30,0.05749413094486365,elastic_net,2008,0.014244642699712338,alpha,0.1,0,,
2009-10-30,-0.032158983072121776,elastic_net,2008,-0.0056562012114163215,alpha,0.1,0,,
2009-11-30,0.060215269557265964,elastic_net,2008,0.006061027112073555,alpha,0.1,0,,
2009-12-31,0.04435702010857775,elastic_net,2008,0.00835797331254512,alpha,0.1,0,,
2010-01-29,-0.05093287383499467,elastic_net,2009,-0.015743332169495146,alpha,0.1,0,,
2010-02-26,0.04001766972784972,elastic_net,2009,0.008658755177535234,alpha,0.1,0,,
2010-03-31,0.071051417701226,elastic_net,2009,0.008856772998816063,alpha,0.1,0,,
2010-04-30,0.02153599914430938,elastic_net,2009,0.00080408571511233,alpha,0.1,0,,
2010-05-28,-0.0721485011426864,elastic_net,2009,0.006559944252338676,alpha,0.1,0,,
2010-06-30,-0.05726781154246875,elastic_net,2009,-0.004286741355536784,alpha,0.1,0,,
2010-07-30,0.06569934270119707,elastic_net,2009,-0.0023622289718167044,alpha,0.1,0,,
2010-08-31,-0.04409126112710486,elastic_net,2009,0.004196545035752813,alpha,0.1,0,,
2010-09-30,0.11900391340187588,elastic_net,2009,0.014037077052774433,alpha,0.1,0,,
2010-10-29,0.04601056163027345,elastic_net,2009,0.0024934642129771437,alpha,0.1,0,,
2010-11-30,0.02463053059306395,elastic_net,2009,0.016643116749818703,alpha,0.1,0,,
2010-12-31,0.05996053029411777,elastic_net,2009,-0.003030029474034898,alpha,0.1,0,,
2011-01-31,0.0055067694343956305,elastic_net,2010,-0.010221198748492904,alpha,0.1,0,,
2011-02-28,0.045871109339472596,elastic_net,2010,0.01008161980875559,alpha,0.1,0,,
2011-03-31,0.0196402303432174,elastic_net,2010,0.01015804736828547,alpha,0.1,0,,
2011-04-29,0.03510118542842672,elastic_net,2010,0.002338695524547317,alpha,0.1,0,,
2011-05-31,-0.018050805112951398,elastic_net,2010,-0.007981314037582428,alpha,0.1,0,,
2011-06-30,-0.017871294527035952,elastic_net,2010,-0.0024041430700458295,alpha,0.1,0,,
2011-07-29,-0.023592238608895012,elastic_net,2010,-0.0014863727279682513,alpha,0.1,0,,
2011-08-31,-0.06378464810193624,elastic_net,2010,-0.0006544424721258296,alpha,0.1,0,,
2011-09-30,-0.097319544923425,elastic_net,2010,-0.01570457875003914,alpha,0.1,0,,
2011-10-31,0.12235291022498597,elastic_net,2010,-0.00010424072027255538,alpha,0.1,0,,
2011-11-30,-0.00692454770021358,elastic_net,2010,-0.0012426582628488605,alpha,0.1,0,,
2011-12-30,-0.024130794406427885,elastic_net,2010,-0.02528290758777367,alpha,0.1,0,,
2012-01-31,0.05411740734212414,elastic_net,2011,-0.0041144151295281275,alpha,0.1,0,,
2012-02-29,0.043900953726358806,elastic_net,2011,0.0008158953741762218,alpha,0.1,0,,
2012-03-30,0.026430945365866515,elastic_net,2011,-0.0027901005442005564,alpha,0.1,0,,
2012-04-30,-0.005303120412272745,elastic_net,2011,0.004652016250188226,alpha,0.1,0,,
2012-05-31,-0.06754162223086893,elastic_net,2011,-0.0002622151393917582,alpha,0.1,0,,
2012-06-29,0.03713214551808787,elastic_net,2011,-0.0029546526480190155,alpha,0.1,0,,
2012-07-31,0.005300836893853278,elastic_net,2011,0.0006953682655219907,alpha,0.1,0,,
2012-08-31,0.028084541552571604,elastic_net,2011,0.0005517312453201667,alpha,0.1,0,,
2012-09-28,0.024559601092059086,elastic_net,2011,-0.0002001419333033383,alpha,0.1,0,,
2012-10-31,-0.017778784598567805,elastic_net,2011,0.008832157606146439,alpha,0.1,0,,
2012-11-30,0.00794424060446237,elastic_net,2011,0.00013324735865475213,alpha,0.1,0,,
2012-12-31,0.016148873912483614,elastic_net,2011,0.005934931394693973,alpha,0.1,0,,
2013-01-31,0.05221205425868918,elastic_net,2012,-0.0022647969988628253,alpha,0.1,0,,
2013-02-28,0.007955084019128849,elastic_net,2012,-0.003871645590381643,alpha,0.1,0,,
2013-03-28,0.03590866605130028,elastic_net,2012,-0.004206008204583583,alpha,0.1,0,,
2013-04-30,0.011371737516426549,elastic_net,2012,-0.0006581475947791526,alpha,0.1,0,,
2013-05-31,0.029307112840242237,elastic_net,2012,-0.0018450423800440915,alpha,0.1,0,,
2013-06-28,-0.012209172712886834,elastic_net,2012,-0.00198089869207326,alpha,0.1,0,,
2013-07-31,0.06205767980539324,elastic_net,2012,0.0029845829451519076,alpha,0.1,0,,
2013-08-30,-0.01382675914859462,elastic_net,2012,0.007715208362402155,alpha,0.1,0,,
2013-09-30,0.05389582518249288,elastic_net,2012,0.008073404880028702,alpha,0.1,0,,
2013-10-31,0.03268909213286212,elastic_net,2012,-0.00495253673180597,alpha,0.1,0,,
2013-11-29,0.028733431540606334,elastic_net,2012,-0.004796109904638732,alpha,0.1,0,,
2013-12-31,0.033453259937925445,elastic_net,2012,0.005185680719316171,alpha,0.1,0,,
2014-01-31,-0.013908287810532603,elastic_net,2013,0.01361586834975617,alpha,0.1,0,,
2014-02-28,0.05417007918099281,elastic_net,2013,0.004378254888641339,alpha,0.1,0,,
2014-03-31,-0.024819685850392036,elastic_net,2013,-0.01898430853577885,alpha,0.1,0,,
2014-04-30,-0.028657170481381035,elastic_net,2013,-0.017916067205304767,alpha,0.1,0,,
2014-05-30,0.02445409068382882,elastic_net,2013,0.0037847149050291226,alpha,0.1,0,,
2014-06-30,0.037605620301595144,elastic_net,2013,0.002325914082777353,alpha,0.1,0,,
2014-07-31,-0.024907892438208918,elastic_net,2013,0.0022165590997981766,alpha,0.1,0,,
2014-08-29,0.044541991033258246,elastic_net,2013,-0.0014415897233069491,alpha,0.1,0,,
2014-09-30,-0.023406745197553126,elastic_net,2013,-0.000952844223617997,alpha,0.1,0,,
2014-10-31,0.03311261922586232,elastic_net,2013,0.0016415527779517075,alpha,0.1,0,,
2014-11-28,0.020083496436018658,elastic_net,2013,-0.005694999110274726,alpha,0.1,0,,
2014-12-31,-0.002414873064263779,elastic_net,2013,-0.0020660203391535347,alpha,0.1,0,,
2015-01-30,-0.019459287132220282,elastic_net,2014,0.0074913334090332614,alpha,0.1,0,,
2015-02-27,0.054864760415089836,elastic_net,2014,-0.013809739635830806,alpha,0.1,0,,
2015-03-31,-0.006200976439050016,elastic_net,2014,-0.00033659727490588116,alpha,0.1,0,,
